,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
0,AAPL,2010-07-09,256.8900,259.9000,255.1600,259.6200,15475800,0.0000,1.0000,32.1049,260.5082,51.7078,66.4258,86.0865,-5.2738,-54.1469,13.483900000000006,257.2850,-1
1,AAPL,2010-07-12,258.5300,261.8500,254.8600,257.2850,20102800,0.0000,1.0000,31.8161,259.5879,49.4387,76.0207,75.1305,-4.7692,-57.0186,12.90639999999999,251.7980,-1
2,AAPL,2010-07-13,256.3200,256.4000,246.4300,251.7980,42533000,0.0000,1.0000,31.1376,258.0127,44.4971,74.0057,60.8001,-8.0526,-72.6701,11.74969999999999,252.7270,1
3,AAPL,2010-07-14,249.3800,255.8000,249.0000,252.7270,29001700,0.0000,1.0000,31.2525,256.7096,45.4905,60.5639,45.7611,-6.7325,-68.2380,10.570849999999979,251.4500,-1
4,AAPL,2010-07-15,248.2300,256.9700,247.3000,251.4500,29459500,0.0000,1.0000,31.0946,255.4561,44.3163,47.0072,34.4603,-6.5242,-69.5235,9.400849999999991,249.9000,-1
5,AAPL,2010-07-16,253.1800,254.9700,248.4100,249.9000,37137800,0.0000,1.0000,30.9029,254.2561,42.8699,37.1062,31.0972,-6.2992,-74.7646,8.353350000000006,245.5800,-1
6,AAPL,2010-07-19,249.8800,249.8800,239.6000,245.5800,36588500,0.0000,1.0000,30.3687,252.6332,39.0448,31.7953,29.8285,-8.4681,-75.8774,6.652299999999997,251.8900,1
7,AAPL,2010-07-20,242.9000,252.9000,240.0100,251.8900,38391100,0.0000,1.0000,31.1490,252.3275,46.5470,34.4957,42.5615,-1.6708,-47.2532,6.4900499999999965,254.2400,1
8,AAPL,2010-07-21,265.0900,265.1500,254.0000,254.2400,42345400,0.0000,1.0000,31.4396,252.5211,49.0615,42.1834,54.1603,1.0774,-42.7006,6.520900000000012,259.0240,1
9,AAPL,2010-07-22,257.6800,260.0000,255.3100,259.0240,23047100,0.0000,1.0000,32.0312,253.2742,53.8237,54.9158,68.0257,4.2434,-23.9765,6.739299999999986,259.9400,1
10,AAPL,2010-07-23,257.0900,260.3800,256.2800,259.9400,19049600,0.0000,1.0000,32.1445,254.2028,54.6970,64.3877,70.9772,5.2644,-20.3914,6.646100000000004,259.2800,-1
11,AAPL,2010-07-26,260.0000,260.0998,257.7100,259.2800,15019700,0.0000,1.0000,32.0628,254.9635,53.9059,72.1435,77.4276,4.2835,-22.9746,6.482299999999981,264.0800,1
12,AAPL,2010-07-27,260.8700,264.8000,260.3000,264.0800,20884700,0.0000,1.0000,32.6564,255.3503,58.5960,76.8753,82.2210,2.0934,-4.1879,7.2690000000000055,260.9600,-1
13,AAPL,2010-07-28,263.6700,265.9900,260.2500,260.9600,18570900,0.0000,1.0000,32.2706,255.5553,54.7000,77.6559,73.3190,1.1120,-19.0603,7.522999999999996,258.1100,-1
14,AAPL,2010-07-29,260.7100,262.6500,256.1000,258.1100,22993100,0.0000,1.0000,31.9182,255.4474,51.3418,70.0277,54.5433,-0.5816,-29.8598,7.41370000000002,257.2500,-1
15,AAPL,2010-07-30,255.8925,259.7000,254.9000,257.2500,16007500,0.0000,1.0000,31.8118,255.4449,50.3375,53.1115,31.4721,-0.0136,-33.1186,7.412350000000018,261.8500,1
16,AAPL,2010-08-02,260.4400,262.5900,259.6200,261.8500,15287700,0.0000,1.0000,32.3806,256.1629,55.3665,40.2477,34.7276,3.9921,-15.6878,7.6314000000000135,261.9300,1
17,AAPL,2010-08-03,261.0100,263.2600,259.4200,261.9300,14916200,0.0000,1.0000,32.3905,256.8203,55.4510,38.4277,49.0833,3.6415,-15.3846,7.791900000000027,262.9800,1
18,AAPL,2010-08-04,262.8400,264.2800,260.3110,262.9800,15013400,0.0000,1.0000,32.5204,257.6439,56.6119,51.5148,70.7334,4.5854,-11.4058,7.78785000000002,261.7000,-1
19,AAPL,2010-08-05,261.7300,263.1800,260.5500,261.7000,10324900,0.0000,1.0000,32.3621,258.4867,54.7392,64.6084,74.0086,4.7219,-16.2562,7.21520000000001,260.0910,-1
20,AAPL,2010-08-06,259.7800,261.4900,257.6300,260.0910,15889200,0.0000,1.0000,32.1631,259.5232,52.3930,69.9854,65.2143,5.9089,-22.7059,4.825250000000011,261.7500,1
21,AAPL,2010-08-09,261.4800,262.1500,259.5700,261.7500,10826000,0.0000,1.0000,32.3683,260.2275,54.5558,65.4584,57.1524,3.9144,-35.3628,3.687749999999994,259.4100,-1
22,AAPL,2010-08-10,259.8500,260.4500,257.5500,259.4100,16140000,0.0000,1.0000,32.0789,260.5968,51.0341,54.8555,42.2000,2.0335,-59.3327,2.763750000000016,250.1900,-1
23,AAPL,2010-08-11,255.4000,255.6900,249.8100,250.1900,22144800,0.0000,1.0000,30.9388,259.9658,40.0608,43.3879,30.8115,-3.4105,-97.6514,4.873449999999991,251.7900,1
24,AAPL,2010-08-12,246.6900,253.1000,246.1200,251.7900,19104300,0.0000,1.0000,31.1366,259.3836,42.3763,31.6539,21.9503,-3.1353,-71.4645,5.807850000000002,249.1000,-1
25,AAPL,2010-08-13,251.6500,251.8800,249.0900,249.1000,12673900,0.0000,1.0000,30.8040,258.6565,39.6060,23.8988,18.9345,-3.9263,-85.0025,7.038150000000002,247.6400,-1
26,AAPL,2010-08-16,247.5800,250.0100,246.6200,247.6400,11372500,0.0000,1.0000,30.6234,257.4822,38.1484,20.8025,21.5228,-6.2254,-92.3503,7.823700000000002,251.9700,1
27,AAPL,2010-08-17,250.0800,254.6300,249.2000,251.9700,15094300,0.0000,1.0000,31.1589,256.8401,44.6542,23.5220,30.1086,-3.4450,-67.7863,7.9512,253.0700,1
28,AAPL,2010-08-18,252.3600,254.6700,251.5800,253.0700,12132000,0.0000,1.0000,31.2949,256.4801,46.2023,34.2129,51.0074,-1.9527,-61.7291,8.059449999999998,249.8800,-1
29,AAPL,2010-08-19,252.8400,253.4800,248.6800,249.8800,15239500,0.0000,1.0000,30.9004,255.9536,42.4904,47.3622,60.9707,-2.8649,-79.2952,8.440249999999992,249.6400,-1
30,AAPL,2010-08-20,249.3900,253.9200,249.0000,249.6400,13722500,0.0000,1.0000,30.8707,255.0815,42.2156,55.0259,53.0997,-4.6630,-80.6167,8.387200000000007,245.8000,-1
31,AAPL,2010-08-23,251.7900,252.0000,245.2500,245.8000,14787200,0.0000,1.0000,30.3959,253.9294,37.9830,47.3402,27.9504,-6.1581,-97.1098,8.58280000000002,239.9300,-1
32,AAPL,2010-08-24,242.6700,243.0000,238.6500,239.9300,21520200,0.0000,1.0000,29.6700,252.2829,32.6019,32.7216,17.1147,-8.7649,-94.7819,9.268150000000006,242.8900,1
33,AAPL,2010-08-25,238.0400,243.9900,237.2000,242.8900,21316700,0.0000,1.0000,30.0360,250.9394,37.4167,20.3394,15.9533,-7.1876,-77.1944,9.042299999999997,240.2800,-1
34,AAPL,2010-08-26,245.4500,245.7500,240.2778,240.2800,16660900,0.0000,1.0000,29.7133,249.5243,35.0397,17.7385,20.1474,-7.6169,-87.6553,9.058599999999998,241.6200,1
35,AAPL,2010-08-27,241.7500,242.6100,235.5600,241.6200,19585400,0.0000,1.0000,29.8790,248.0864,37.2440,21.9573,29.7712,-7.6905,-75.6529,7.964099999999988,242.5000,1
36,AAPL,2010-08-30,240.7600,245.7500,240.6801,242.5000,13688900,0.0000,1.0000,29.9878,246.8786,38.7147,30.3493,41.1295,-6.5186,-65.5241,6.674700000000001,243.1000,1
37,AAPL,2010-08-31,241.8500,244.5600,240.3500,243.1000,15028100,0.0000,1.0000,30.0620,246.3721,39.7515,43.5181,59.6538,-2.8338,-60.5442,6.6714000000000055,250.3300,1
38,AAPL,2010-09-01,247.4700,251.4600,246.2800,250.3300,24894200,0.0000,1.0000,30.9561,246.2679,50.5970,59.7048,78.3311,-0.5798,-22.7106,6.502499999999998,252.1700,1
39,AAPL,2010-09-02,251.2623,252.1700,248.5700,252.1700,14836700,0.0000,1.0000,31.1836,246.4871,52.9197,75.6491,88.9624,1.2324,-13.0822,6.817949999999996,258.7700,1
40,AAPL,2010-09-03,255.0900,258.7800,254.5000,258.7700,18599600,0.0000,1.0000,31.9998,247.2821,60.1562,88.3021,97.6129,4.4944,-0.0431,8.312399999999997,257.8100,-1
41,AAPL,2010-09-07,256.6400,259.5300,256.2500,257.8100,12234200,0.0000,1.0000,31.8811,247.6993,58.7418,94.5227,96.9927,2.3177,-7.1756,9.1096,262.9200,1
42,AAPL,2010-09-08,259.7800,264.3899,259.1000,262.9200,18805400,0.0000,1.0000,32.5130,248.4029,63.6419,96.2976,94.2872,3.8922,-5.0985,10.698949999999996,263.0700,1
43,AAPL,2010-09-09,265.0400,266.5200,262.9200,263.0700,15663400,0.0000,1.0000,32.5315,249.3450,63.7779,93.0595,87.8986,5.2785,-11.1434,12.111699999999999,263.4100,1
44,AAPL,2010-09-10,263.1900,264.5000,261.4000,263.4100,13840800,0.0000,1.0000,32.5736,250.3286,64.1056,88.1497,82.2633,5.5159,-10.0452,13.277649999999994,267.0400,1
45,AAPL,2010-09-13,265.8200,268.2800,265.7600,267.0400,13885000,0.0000,1.0000,33.0224,251.8457,67.4878,83.8983,81.5329,8.6412,-3.7897,14.584400000000002,268.0600,1
46,AAPL,2010-09-14,266.2100,269.1700,265.5200,268.0600,14576800,0.0000,1.0000,33.1486,253.8550,68.3892,82.6872,84.2654,11.7243,-3.3026,14.935000000000016,270.2200,1
