,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
0,AMZN,2010-07-09,116.5500,117.4000,114.6500,117.2600,4065100,0.0000,1.0000,117.2600,115.5984,47.4477,73.9080,94.3198,-6.8108,-47.6013,7.60445,119.5100,1
1,AMZN,2010-07-12,117.8100,119.7000,117.3200,119.5100,4783600,0.0000,1.0000,119.5100,115.3812,51.1105,87.9041,94.6899,-2.4806,-29.7607,7.2398000000000025,123.6500,1
2,AMZN,2010-07-13,120.6900,124.8800,120.3000,123.6500,7091100,0.0000,1.0000,123.6500,115.4771,57.0432,94.9583,95.8653,1.0981,-6.5183,7.461500000000008,123.3000,-1
3,AMZN,2010-07-14,123.0300,123.7500,121.4749,123.3000,5257000,0.0000,1.0000,123.3000,115.6093,56.4198,94.1235,91.8154,1.5233,-8.3731,7.728900000000003,122.0600,-1
4,AMZN,2010-07-15,120.1300,122.4800,119.2600,122.0600,6047700,0.0000,1.0000,122.0600,115.8757,54.1617,90.2998,83.2187,3.1522,-14.9444,8.066850000000002,118.4900,-1
5,AMZN,2010-07-16,121.2800,121.9200,118.0100,118.4900,6227900,0.0000,1.0000,118.4900,115.6964,48.1826,77.5996,57.7647,-2.0744,-33.8633,7.866400000000006,119.9400,1
6,AMZN,2010-07-19,118.3800,120.7400,117.0000,119.9400,5030900,0.0000,1.0000,119.9400,115.8493,50.5694,60.9078,41.7400,1.8166,-26.1791,8.000649999999993,120.1000,1
7,AMZN,2010-07-20,120.6100,120.7100,117.5100,120.1000,6785000,0.0000,1.0000,120.1000,116.6700,50.8385,44.1362,32.9039,10.5791,-26.2926,7.548250000000003,117.4300,-1
8,AMZN,2010-07-21,120.6200,121.2500,117.2600,117.4300,5011700,0.0000,1.0000,117.4300,117.2536,46.3080,35.0015,30.3608,7.4776,-40.9791,6.890450000000001,120.0700,1
9,AMZN,2010-07-22,118.7100,120.8700,118.0200,120.0700,15003400,0.0000,1.0000,120.0700,117.9043,50.9614,33.9961,38.7237,8.2102,-29.4730,6.436949999999996,118.8700,-1
10,AMZN,2010-07-23,105.9250,119.2800,105.8000,118.8700,42421100,0.0000,1.0000,118.8700,118.5993,48.8874,40.2327,51.6135,8.9152,-31.4990,5.305899999999994,118.4000,-1
11,AMZN,2010-07-26,118.2600,118.6000,114.8800,118.4000,11137800,0.0000,1.0000,118.4000,119.1950,48.0623,55.5065,76.1824,7.5777,-33.9623,3.9549500000000037,117.1300,-1
12,AMZN,2010-07-27,118.4300,118.5000,115.0658,117.1300,7796100,0.0000,1.0000,117.1300,119.4593,45.8124,69.2078,79.8274,3.2619,-40.6184,3.2906499999999994,117.1300,0
13,AMZN,2010-07-28,117.0000,118.2000,116.4000,117.1300,5472300,0.0000,1.0000,117.1300,119.5243,45.8124,77.5665,76.6897,0.7830,-40.6184,3.162950000000002,116.8600,-1
14,AMZN,2010-07-29,117.9900,118.8700,115.5200,116.8600,6175800,0.0000,1.0000,116.8600,119.4957,45.2897,77.7905,76.8544,-0.3411,-42.0335,3.2124000000000024,117.8900,1
15,AMZN,2010-07-30,115.5300,118.7400,114.5100,117.8900,7077500,0.0000,1.0000,117.8900,119.3800,47.7395,77.2650,78.2510,-1.3555,-36.6352,3.271650000000001,120.0700,1
16,AMZN,2010-08-02,119.1500,120.3800,117.5700,120.0700,5443700,0.0000,1.0000,120.0700,119.1243,52.5794,79.9562,84.7631,-2.8953,-20.5014,2.775349999999996,122.4200,1
17,AMZN,2010-08-03,120.0000,122.8700,119.6800,122.4200,5953800,0.0000,1.0000,122.4200,119.0614,57.1828,83.9890,88.9530,-0.7137,-2.6362,2.5762999999999963,127.5800,1
18,AMZN,2010-08-04,123.0600,128.4700,123.0000,127.5800,9270800,0.0000,1.0000,127.5800,119.4557,65.1765,89.3455,94.3203,4.5224,-3.9259,4.062600000000003,127.8300,1
19,AMZN,2010-08-05,126.7700,128.0000,125.8200,127.8300,4282300,0.0000,1.0000,127.8300,120.1229,65.5124,92.6086,94.5524,7.8825,-2.8231,5.159849999999999,128.3200,1
20,AMZN,2010-08-06,126.7200,128.4000,125.9000,128.3200,5065200,0.0000,1.0000,128.3200,120.7214,66.2007,94.9202,95.8880,6.9868,-0.6617,6.050750000000001,128.8300,1
21,AMZN,2010-08-09,128.4600,129.9300,127.8501,128.8300,5085800,0.0000,1.0000,128.8300,121.3450,66.9402,94.9588,94.4359,7.2689,-4.5586,6.8001000000000005,130.0000,1
22,AMZN,2010-08-10,127.9500,130.0000,127.3800,130.0000,5706900,0.0000,1.0000,130.0000,122.2429,68.6355,95.4293,95.9640,10.7042,-0.0000,7.348649999999999,125.8900,-1
23,AMZN,2010-08-11,128.1000,128.1200,125.2000,125.8900,5541700,0.0000,1.0000,125.8900,122.6586,57.4835,86.0937,67.8811,4.8472,-16.9835,7.415750000000003,126.5600,1
24,AMZN,2010-08-12,123.7600,127.0000,123.5500,126.5600,4367900,0.0000,1.0000,126.5600,123.2079,58.6627,72.5086,53.6806,6.4693,-22.2079,7.379249999999999,124.6900,-1
25,AMZN,2010-08-13,126.0600,127.4800,124.2600,124.6900,3976600,0.0000,1.0000,124.6900,123.6571,54.1488,49.2668,26.2387,5.3125,-34.2802,7.116049999999994,126.0700,1
26,AMZN,2010-08-16,123.6100,127.3700,123.0400,126.0700,4024700,0.0000,1.0000,126.0700,124.2957,56.7911,38.6259,35.9585,7.6325,-25.3712,6.618850000000002,128.8600,1
27,AMZN,2010-08-17,127.3400,129.9800,126.7900,128.8600,5044700,0.0000,1.0000,128.8600,125.1336,61.6081,36.8514,48.3569,10.0145,-7.3596,6.109449999999995,129.6500,1
28,AMZN,2010-08-18,129.2500,130.8100,128.2600,129.6500,7901500,0.0000,1.0000,129.6500,126.0471,62.8704,51.7126,70.8223,10.9447,-7.1166,5.2654,127.5700,-1
29,AMZN,2010-08-19,129.2200,130.0200,126.8200,127.5700,5582500,0.0000,1.0000,127.5700,126.7386,57.5093,64.9746,75.7445,8.2110,-24.4713,4.040749999999996,127.7600,1
30,AMZN,2010-08-20,127.2000,128.0400,126.0200,127.7600,4170100,0.0000,1.0000,127.7600,127.2879,57.8627,71.5354,68.0395,6.4046,-27.4034,2.944400000000009,126.6000,-1
31,AMZN,2010-08-23,127.8600,129.2200,126.5000,126.6000,3861300,0.0000,1.0000,126.6000,127.5864,54.8621,62.5009,43.7187,3.4145,-53.9052,2.1764500000000027,124.5300,-1
32,AMZN,2010-08-24,125.4100,125.4400,123.1800,124.5300,5369700,0.0000,1.0000,124.5300,127.3686,49.8901,47.3137,30.1828,-2.3907,-80.8237,2.476149999999997,126.8500,1
33,AMZN,2010-08-25,123.8500,127.3700,123.8300,126.8500,5344500,0.0000,1.0000,126.8500,127.2986,54.8309,33.9068,27.8189,-0.7666,-50.9653,2.475750000000005,124.8600,-1
34,AMZN,2010-08-26,127.1500,127.5900,124.8200,124.8600,4694500,0.0000,1.0000,124.8600,127.0514,50.2538,30.3520,33.0543,-2.6964,-76.5766,2.6038499999999942,126.6400,1
35,AMZN,2010-08-27,125.4600,126.6400,122.2500,126.6400,5080000,0.0000,1.0000,126.6400,126.8950,53.9562,36.3415,48.1513,-1.6999,-48.7150,2.4987500000000082,123.7900,-1
36,AMZN,2010-08-30,126.0300,126.9500,123.6900,123.7900,3426000,0.0000,1.0000,123.7900,126.4514,47.8194,40.3616,39.8792,-4.7769,-82.0093,2.408549999999991,124.8300,1
37,AMZN,2010-08-31,122.8500,125.9000,122.5000,124.8300,4225600,0.0000,1.0000,124.8300,126.3757,50.0519,44.9144,46.7126,-0.8420,-69.8598,2.4819499999999977,132.4900,1
38,AMZN,2010-09-01,126.3600,132.5990,126.1700,132.4900,7138300,0.0000,1.0000,132.4900,126.7993,62.7076,48.4306,58.7001,4.6855,-1.0532,3.42915,135.2100,1
39,AMZN,2010-09-02,132.1700,135.2100,132.0500,135.2100,5407400,0.0000,1.0000,135.2100,127.5507,66.0018,62.6111,82.4205,8.4369,-0.0000,4.598100000000002,138.7900,1
40,AMZN,2010-09-03,136.8900,139.5000,136.6250,138.7900,6581200,0.0000,1.0000,138.7900,128.4593,69.7849,79.7924,98.2568,10.0896,-4.1159,6.2637499999999875,137.2200,-1
41,AMZN,2010-09-07,137.5600,138.6000,136.8900,137.2200,3883000,0.0000,1.0000,137.2200,129.0564,66.3007,91.6048,94.1373,6.4877,-13.2174,7.1233,139.1400,1
42,AMZN,2010-09-08,137.9300,139.7000,136.4500,139.1400,5828500,0.0000,1.0000,139.1400,129.7343,68.3799,95.0505,92.7576,7.3197,-3.2092,8.123550000000009,140.3800,1
43,AMZN,2010-09-09,140.3872,141.3700,139.2600,140.3800,4958000,0.0000,1.0000,140.3800,130.6493,69.6810,92.5013,90.6090,10.0415,-5.1778,9.031549999999996,142.4400,1
44,AMZN,2010-09-10,140.7500,142.6001,140.0400,142.4400,5043600,0.0000,1.0000,142.4400,131.6979,71.7599,92.5261,94.2118,11.4903,-0.7867,10.004800000000003,145.0700,1
45,AMZN,2010-09-13,144.0700,145.7400,143.7600,145.0700,5077400,0.0000,1.0000,145.0700,133.0171,74.1928,92.6694,93.1875,14.5893,-2.8523,10.988249999999994,145.7500,1
