,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
0,SPY,2010-07-09,107.1300,107.9700,106.9300,107.9600,144930550,0.0000,1.0000,88.2266,106.3943,50.6201,73.0817,98.4491,-3.3742,-43.4134,4.185249999999996,-3.7700,31.8911,2712687612.0000,2.1703,31.2417,-1.4158,-0.2092,108.0300,1
1,SPY,2010-07-12,107.6000,108.2400,107.1500,108.0300,130961733,0.0000,1.0000,88.2838,106.1529,50.8352,90.3016,98.1965,-3.0338,-35.9331,3.71105,-3.3800,30.3314,2843649345.0000,2.0931,49.0562,-1.1685,-0.1989,109.6600,1
2,SPY,2010-07-13,109.1500,110.0900,108.9300,109.6600,212543601,0.0000,1.0000,89.6158,106.1593,55.6767,97.8217,96.8195,0.0821,-4.7991,3.724499999999999,0.0900,28.4013,3056192946.0000,2.0907,106.0754,-0.8314,-0.1811,109.6500,-1
3,SPY,2010-07-14,109.3100,110.0800,108.8600,109.6500,184330050,0.0000,1.0000,89.6077,106.1893,55.6405,96.1264,93.3633,0.3845,-4.9107,3.7832499999999953,0.4200,26.5727,2871862896.0000,2.0285,103.6809,-0.5586,-0.1588,109.6800,1
4,SPY,2010-07-15,109.6100,110.0600,108.1700,109.6800,231681837,0.0000,1.0000,89.6322,106.3507,55.7335,93.4406,90.1390,2.1039,-4.5759,3.99615,2.2600,24.8394,3103544733.0000,2.0186,89.5847,-0.3362,-0.1343,106.6600,-1
5,SPY,2010-07-16,109.0900,109.2100,106.4500,106.6600,282607148,0.0000,1.0000,87.1642,106.2643,45.4132,81.4194,60.7561,-1.1217,-38.2813,3.9492499999999993,-1.2100,24.0509,2820937585.0000,2.1052,35.3621,-0.3990,-0.1157,107.2900,1
6,SPY,2010-07-19,107.0500,107.6300,106.2200,107.2900,186394545,0.0000,1.0000,87.6790,106.2471,47.5933,63.6809,40.1477,-0.2232,-31.2500,3.9379999999999953,-0.2400,23.4214,3007332130.0000,2.0555,25.4144,-0.3933,-0.1002,108.4800,1
7,SPY,2010-07-20,105.8700,108.5600,105.8200,108.4800,257880059,0.0000,1.0000,88.6515,106.5521,51.5311,44.2856,31.9530,4.0975,-17.9687,3.928450000000005,4.2700,22.2800,3265212189.0000,2.1044,37.7949,-0.2895,-0.0847,107.0700,-1
8,SPY,2010-07-21,109.0400,109.0700,106.6300,107.0700,264349757,0.0000,1.0000,87.4993,106.8271,47.0227,37.3193,39.8570,3.7299,-33.7054,3.6771499999999975,3.8500,20.9253,3000862432.0000,2.1284,31.6029,-0.3174,-0.0729,109.4600,1
9,SPY,2010-07-22,108.3400,109.9400,108.3300,109.4600,274503131,0.0000,1.0000,89.4524,107.3057,54.3183,43.9669,60.0907,6.5200,-7.4380,3.3855000000000004,6.7000,19.6804,3275365563.0000,2.1814,86.0072,-0.1449,-0.0585,110.4100,1
