,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
0,AAPL,2010-07-09,256.89,259.9,255.16,259.62,15475800,0.0,1.0,32.1049,260.5082,51.7078,66.4258,86.0865,-5.2738,-54.1469,13.483900000000006,257.285,-1
1,AMZN,2010-07-09,116.55,117.4,114.65,117.26,4065100,0.0,1.0,117.26,115.5984,47.4477,73.908,94.3198,-6.8108,-47.6013,7.60445,119.51,1
2,AXP,2010-07-09,42.11,42.61,41.93,42.58,8292400,0.0,1.0,36.6896,41.1643,57.5026,73.5914,98.3764,1.3086,-11.8644,1.9126000000000007,42.83,1
3,BAC,2010-07-09,14.86,15.13,14.75,15.11,86584400,0.0,1.0,13.4222,14.8586,49.1209,72.8426,95.3807,-4.488,-38.0769,0.8952500000000008,15.21,1
4,BK,2010-07-09,25.97,26.24,25.75,26.23,5400600,0.0,1.0,21.5119,25.61,50.3306,69.5356,85.7936,-1.3168,-24.4604,0.9944500000000004,26.27,1
5,JPM,2010-07-09,37.75,38.89,37.68,38.85,30422300,0.0,1.0,29.8448,37.7979,53.2214,72.6764,92.6395,-0.8423,-20.1299,1.7113000000000014,39.19,1
6,KO,2010-07-09,52.36,52.49,52.07,52.4,6474000,0.0,1.0,19.2408,51.255,56.5809,82.0399,96.7524,0.1721,-18.8366,1.4855999999999978,52.45,1
7,MCO,2010-07-09,21.36,22.08,21.31,22.04,2849600,0.0,1.0,19.2789,20.7221,58.3241,70.1155,96.6977,4.455,-6.5217,1.1365999999999996,22.01,-1
8,SPY,2010-07-09,107.13,107.97,106.93,107.96,144930550,0.0,1.0,88.2266,106.3943,50.6201,73.0817,98.4491,-3.3742,-43.4134,4.1852499999999955,108.03,1
9,USB,2010-07-09,23.23,23.94,23.06,23.91,12243200,0.0,1.0,18.7314,22.9093,56.0475,66.9225,93.7341,1.4425,-3.9648,0.8990499999999989,23.77,-1
10,WFC,2010-07-09,26.5,27.04,26.4,27.0,24905000,0.0,1.0,20.2341,26.4786,47.8501,68.5559,92.3439,-3.8119,-38.4615,1.388349999999999,27.06,1
11,AAPL,2010-07-12,258.53,261.85,254.86,257.285,20102800,0.0,1.0,31.8161,259.5879,49.4387,76.0207,75.1305,-4.7692,-57.0186,12.90639999999999,251.798,-1
12,AMZN,2010-07-12,117.81,119.7,117.32,119.51,4783600,0.0,1.0,119.51,115.3812,51.1105,87.9041,94.6899,-2.4806,-29.7607,7.239800000000002,123.65,1
13,AXP,2010-07-12,42.4,42.96,42.25,42.83,6981200,0.0,1.0,36.905,41.1807,58.4851,90.1003,98.1828,0.5399,-2.8634,1.9422,44.17,1
14,BAC,2010-07-12,15.07,15.25,14.97,15.21,92146300,0.0,1.0,13.5111,14.8171,50.3971,88.8934,96.7494,-3.6732,-28.8981,0.8234499999999993,15.67,1
15,BK,2010-07-12,26.1,26.39,26.03,26.27,4736900,0.0,1.0,21.5447,25.5993,50.6905,79.186,81.33,-0.5678,-18.0077,0.9763000000000002,26.85,1
16,JPM,2010-07-12,38.86,39.34,38.6,39.19,24998900,0.0,1.0,30.106,37.8207,54.8186,86.2266,92.1767,0.8233,-10.0446,1.7475999999999985,40.48,1
17,KO,2010-07-12,52.16,52.47,51.95,52.45,5385300,0.0,1.0,19.2592,51.2529,56.922,93.6763,98.0994,-0.0572,-17.4515,1.4816000000000005,52.72,1
18,MCO,2010-07-12,21.97,22.17,21.83,22.01,2332600,0.0,1.0,19.2527,20.7793,58.0804,87.7239,96.7083,3.7718,-7.6087,1.2299500000000003,22.67,1
19,SPY,2010-07-12,107.6,108.24,107.15,108.03,130961733,0.0,1.0,88.2838,106.1529,50.8352,90.3016,98.1965,-3.0338,-35.9331,3.71105,109.66,1
20,USB,2010-07-12,23.82,23.89,23.52,23.77,7028200,0.0,1.0,18.6218,22.9164,54.6627,85.6253,95.259,0.4225,-10.1322,0.9133499999999994,24.43,1
21,WFC,2010-07-12,26.93,27.13,26.56,27.06,18761700,0.0,1.0,20.279,26.4157,48.3364,84.522,92.4422,-3.1496,-34.0483,1.2766000000000002,27.94,1
22,AAPL,2010-07-13,256.32,256.4,246.43,251.798,42533000,0.0,1.0,31.1376,258.0127,44.4971,74.0057,60.8001,-8.0526,-72.6701,11.74969999999999,252.727,1
23,AMZN,2010-07-13,120.69,124.88,120.3,123.65,7091100,0.0,1.0,123.65,115.4771,57.0432,94.9583,95.8653,1.0981,-6.5183,7.461500000000008,123.3,-1
24,AXP,2010-07-13,43.27,44.43,43.26,44.17,8623100,0.0,1.0,38.0597,41.34,63.3729,97.8907,97.1128,5.3171,-4.3261,2.2490999999999985,43.7,-1
25,BAC,2010-07-13,15.48,15.72,15.4,15.67,130720700,0.0,1.0,13.9197,14.8236,55.8793,96.5675,97.5725,0.5777,-2.2523,0.8374499999999996,15.67,0
26,BK,2010-07-13,26.48,26.95,26.46,26.85,10718800,0.0,1.0,22.0204,25.6421,55.7029,84.8294,87.3645,2.2857,-3.5461,1.0641999999999996,26.61,-1
27,JPM,2010-07-13,39.81,40.69,39.74,40.48,48564800,0.0,1.0,31.097,37.9743,60.3499,93.7894,96.5521,5.6092,-3.7975,2.0238499999999995,40.35,-1
28,KO,2010-07-13,52.74,52.95,52.6,52.72,6853200,0.0,1.0,19.3583,51.2714,58.8041,96.7608,95.4307,0.4956,-6.6092,1.518650000000001,52.82,1
29,MCO,2010-07-13,22.2,22.77,22.2,22.67,2229500,0.0,1.0,19.83,20.9179,61.8573,96.5839,96.3457,9.3584,-3.0211,1.4295500000000008,22.39,-1
30,SPY,2010-07-13,109.15,110.09,108.93,109.66,212543601,0.0,1.0,89.6158,106.1593,55.6767,97.8217,96.8195,0.0821,-4.7991,3.7244999999999986,109.65,-1
31,USB,2010-07-13,24.03,24.56,24.02,24.43,11937400,0.0,1.0,19.1388,22.9793,59.7157,94.7667,95.3071,3.7367,-4.5936,1.06255,24.14,-1
32,WFC,2010-07-13,27.37,28.08,27.32,27.94,31658500,0.0,1.0,20.9385,26.45,54.9684,93.7774,96.546,1.748,-4.023,1.3510000000000009,27.66,-1
33,AAPL,2010-07-14,249.38,255.8,249.0,252.727,29001700,0.0,1.0,31.2525,256.7096,45.4905,60.5639,45.7611,-6.7325,-68.238,10.57084999999998,251.45,-1
34,AMZN,2010-07-14,123.03,123.75,121.4749,123.3,5257000,0.0,1.0,123.3,115.6093,56.4198,94.1235,91.8154,1.5233,-8.3731,7.728900000000002,122.06,-1
35,AXP,2010-07-14,43.95,44.17,43.27,43.7,7158100,0.0,1.0,37.6547,41.4493,60.6746,94.8698,89.3138,3.6282,-12.1464,2.411649999999998,43.43,-1
36,BAC,2010-07-14,15.6,15.72,15.42,15.67,115645600,0.0,1.0,13.9197,14.8407,55.8793,96.9553,96.5441,1.5554,-2.2523,0.8699000000000003,15.39,-1
37,BK,2010-07-14,26.63,26.81,26.42,26.61,7324900,0.0,1.0,21.8236,25.6771,53.289,84.232,84.0016,1.876,-12.0567,1.11515,26.79,1
38,JPM,2010-07-14,40.15,40.38,39.84,40.35,37320600,0.0,1.0,30.9971,38.0786,59.5586,94.1517,93.7262,3.7542,-6.1483,2.200849999999999,40.46,1
39,KO,2010-07-14,52.56,52.92,52.42,52.82,6196300,0.0,1.0,19.395,51.3129,59.5097,95.6599,93.4496,1.1103,-3.7356,1.5928000000000004,52.85,1
40,MCO,2010-07-14,22.59,22.63,22.19,22.39,1893100,0.0,1.0,19.5851,21.0079,59.4117,94.7503,91.1968,5.9631,-11.4804,1.5383499999999994,22.47,1
41,SPY,2010-07-14,109.31,110.08,108.86,109.65,184330050,0.0,1.0,89.6077,106.1893,55.6405,96.1264,93.3633,0.3845,-4.9107,3.7832499999999953,109.68,1
42,USB,2010-07-14,24.33,24.35,23.94,24.14,10744000,0.0,1.0,18.9116,23.0514,56.7242,92.7599,87.7136,4.3666,-14.841,1.1533499999999997,24.4,1
43,WFC,2010-07-14,27.7,27.78,27.25,27.66,31305800,0.0,1.0,20.7287,26.4743,52.6524,93.111,90.3448,1.2445,-12.069,1.3919499999999996,27.81,1
44,AAPL,2010-07-15,248.23,256.97,247.3,251.45,29459500,0.0,1.0,31.0946,255.4561,44.3163,47.0072,34.4603,-6.5242,-69.5235,9.400849999999991,249.9,-1
45,AMZN,2010-07-15,120.13,122.48,119.26,122.06,6047700,0.0,1.0,122.06,115.8757,54.1617,90.2998,83.2187,3.1522,-14.9444,8.066850000000002,118.49,-1
46,AXP,2010-07-15,43.97,44.0,42.34,43.43,9838400,0.0,1.0,37.422,41.6186,59.1173,87.8113,77.0073,5.772,-16.6389,2.521449999999998,41.38,-1
47,BAC,2010-07-15,15.66,15.69,15.06,15.39,177237600,0.0,1.0,13.671,14.8671,51.835,93.4198,86.1429,2.4634,-14.8649,0.8935999999999993,13.98,-1
48,BK,2010-07-15,26.54,26.91,26.25,26.79,8062300,0.0,1.0,21.9712,25.7679,54.8687,85.2791,84.4712,4.9765,-5.6738,1.1916499999999992,25.73,-1
49,JPM,2010-07-15,40.72,40.84,39.31,40.46,81876200,0.0,1.0,31.0816,38.2521,60.0361,93.811,91.1545,6.3897,-6.6901,2.384800000000002,39.0,-1
50,KO,2010-07-15,52.72,52.95,52.32,52.85,7485300,0.0,1.0,19.406,51.3879,59.7326,93.1788,90.6561,2.027,-2.8736,1.6928999999999979,52.37,-1
