,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,next_close,direction
1,AAPL,11/29/2016,110.78,112.03,110.07,111.46,28528750,0,1,105.9265,109.9643,50.4087,71.0776,66.2518,0.3602,-11.9857,2.84645,110.52,-1
2,AMZN,11/29/2016,768,769.89,761.32,762.52,3272344,0,1,762.52,759.5529,45.0276,50.0254,26.0777,-3.2028,-36.3062,28.2183,750.57,-1
3,AXP,11/29/2016,72.2,72.26,71.385,71.49,3814802,0,1,67.4349,71.5229,62.9421,72.2953,56.0358,6.5901,-27.6144,1.6476,72.04,1
4,BAC,11/29/2016,20.38,20.54,20.25,20.29,114159274,0,1,18.8565,19.89,71.7791,71.4033,51.5167,19.3529,-16.8345,1.13225,21.12,1
5,BK,11/29/2016,47.1,47.305,46.84,47.05,5635908,0,1,43.5825,47.1229,66.5855,47.1322,36.8526,7.2242,-22.6933,0.8967,47.42,1
6,JPM,11/29/2016,78.39,79.16,78.39,78.92,14143902,0,1,71.2404,77.8643,73.2714,70.8257,62.5402,12.6946,-16.6667,2.30565,80.17,1
7,KO,11/29/2016,41.52,41.52,41.14,41.15,11421871,0.35,1,36.6481,41.3157,43.7523,66.8952,64.83,-4.0345,-69.2308,0.51985,40.35,-1
8,MCO,11/29/2016,101.04,101.5,100.31,101.09,714458,0,1,97.3784,100.5586,47.6282,58.0012,46.0931,1.4145,-34.3924,1.144,100.5,-1
9,SPY,11/29/2016,220.52,221.44,220.17,220.91,69886690,0,1,205.2911,218.8778,66.2631,84.8814,73.69,3.1759,-7.0499,2.6711,220.38,-1
10,USB,11/29/2016,49.12,49.35,49.01,49.1,5726555,0,1,44.1205,48.605,69.9182,63.4177,47.3005,9.1596,-10.5856,1.1605,49.62,1
11,WFC,11/29/2016,51.56,52.13,51.56,51.86,16266741,0,1,45.7057,51.9079,63.0879,50.0759,39.6946,13.8779,-27.2953,1.77895,52.92,1
12,AAPL,11/30/2016,111.6,112.2,110.27,110.52,36162258,0,1,105.0332,109.9386,46.6033,60.744,46.7902,-0.3247,-23.1962,2.8312,109.49,-1
13,AMZN,11/30/2016,762,768.09,750.25,750.57,4625946,0,1,750.57,758.0307,41.3,26.5189,4.574,-2.7608,-50.8262,27.92145,743.65,-1
14,AXP,11/30/2016,72,72.33,71.78,72.04,4812440,0,1,67.9537,71.7586,65.2447,58.3766,39.2918,4.8007,-27.6029,1.17815,72.53,1
